user_id,exp_group,user_segment,viewed_page,clicked_button,time_on_page
100000,test,returning,1,0,33.378328960790824
100001,control,loyal,1,0,43.1142204879096
100002,control,loyal,1,0,61.84206502431026
100003,test,new,1,0,53.51662844928818
100004,test,new,1,0,36.45343776098602
100005,control,new,1,0,16.681169038942734
100006,test,returning,1,0,51.00849158789154
100007,test,loyal,1,0,51.11112321632304
100008,control,loyal,1,0,40.023432411745304
100009,control,new,1,0,47.330441501988446
100010,control,new,1,0,43.57758821259378
100011,test,returning,1,0,70.03526793199029
100012,control,new,1,0,25.123081810182136
100013,control,new,1,0,26.72196375441386
100014,control,loyal,1,0,41.03444387552381
100015,test,new,1,0,10.0
100016,control,new,1,0,35.458002574385745
100017,control,new,1,0,15.781073604630484
100018,test,new,1,0,54.000691589876794
100019,test,new,1,0,10.0
100020,test,new,1,0,42.51774148300372
100021,test,new,1,0,41.22462366535619
100022,test,new,1,0,48.31001072585137
100023,test,returning,1,1,50.01546146954818
100024,test,returning,1,0,67.77488913708687
100025,control,returning,1,0,44.660697623615214
100026,control,new,1,0,23.754855267762903
100027,control,new,1,0,40.22181344298927
100028,control,new,1,0,26.512668201595215
100029,test,new,1,0,30.815679443413273
100030,control,returning,1,0,54.25434645094775
100031,control,loyal,1,0,64.34433050992138
100032,control,loyal,1,0,64.15883063287707
100033,control,loyal,1,0,42.781999421872726
100034,control,new,1,0,40.79926383244798
100035,control,new,1,0,37.66670168843817
100036,control,returning,1,0,76.08767902362952
100037,test,returning,1,0,40.48722468845166
100038,test,returning,1,0,63.80783810508472
100039,test,new,1,0,10.0
100040,test,new,1,0,44.36154219820166
100041,control,new,1,0,10.0
100042,control,returning,1,0,55.69604887164135
100043,control,returning,1,0,35.111089902845904
100044,test,loyal,1,0,28.20595130676738
100045,control,returning,1,0,62.07866477348003
100046,control,new,1,0,30.355363619705287
100047,test,loyal,1,0,87.17270248103382
100048,test,returning,1,0,72.39608150852686
100049,test,new,1,0,39.93782680662221
100050,control,loyal,1,1,56.21257813051349
100051,test,returning,1,0,72.35045514170787
100052,test,returning,1,0,59.82732367297301
100053,test,new,1,0,19.456514568865302
100054,control,returning,1,0,48.11870024054288
100055,control,loyal,1,0,66.67971737901057
100056,control,loyal,1,0,52.9597089166203
100057,test,new,1,0,30.610505699828305
100058,test,new,1,0,50.34914980498467
100059,test,new,1,0,35.83357877130839
100060,test,new,1,0,34.40609081525587
100061,test,new,1,0,14.812593043936317
100062,test,new,1,0,35.504012874112675
100063,test,returning,1,0,57.17095501871893
100064,test,loyal,1,0,71.87373535518036
100065,control,new,1,0,23.27645551038988
100066,test,new,1,0,32.115306541065124
100067,control,returning,1,0,31.311759415455906
100068,control,loyal,1,0,28.112651123287257
100069,test,loyal,1,1,77.21114000733243
100070,control,returning,1,0,46.34366255891647
100071,test,new,1,0,36.25961467084761
100072,test,new,1,0,37.75370501276868
100073,test,returning,1,0,60.08513983167222
100074,control,loyal,1,0,10.301438079877656
100075,test,loyal,1,1,69.87215155472322
100076,test,returning,1,0,33.889290993422804
100077,control,returning,1,0,53.30216333242888
100078,control,new,1,0,29.877868498860952
100079,test,new,1,0,37.570445053879226
100080,control,returning,1,0,45.110541484312016
100081,test,loyal,1,0,83.4474826981266
100082,test,new,1,0,13.808007830293068
100083,control,loyal,1,0,69.76053307292356
100084,test,returning,1,0,32.645230815414806
100085,test,new,1,0,52.50004286413167
100086,control,new,1,0,24.037804062748005
100087,control,new,1,0,34.18517772911168
100088,control,loyal,1,0,36.6227356184597
100089,control,new,1,0,15.712351121128998
100090,test,loyal,1,0,65.91469796230312
100091,test,returning,1,0,72.5767468703436
100092,control,returning,1,0,54.38581327677517
100093,test,new,1,0,33.45203633187649
100094,test,loyal,1,1,54.64261116891935
100095,test,returning,1,0,52.648129231397895
100096,control,new,1,0,26.778723457242652
100097,control,new,1,0,37.74722944131605
100098,control,loyal,1,0,60.119042687540386
100099,control,loyal,1,0,26.508133949905943
100100,test,returning,1,1,47.657775593832866
100101,test,new,1,0,43.05685244179073
100102,control,new,1,0,43.167525238302076
100103,control,loyal,1,0,82.08739118100337
100104,control,returning,1,0,47.614127780433016
100105,test,loyal,1,0,79.67804908641229
100106,test,returning,1,0,43.8465305493379
100107,test,returning,1,0,53.031471173702315
100108,test,returning,1,0,33.011415877657214
100109,control,returning,1,0,37.12432578331702
100110,control,returning,1,0,17.73121507983445
100111,control,returning,1,0,48.08904249937983
100112,control,new,1,1,25.3750062106276
100113,test,loyal,1,0,75.63303181896406
100114,control,new,1,0,16.904124213464016
100115,test,new,1,0,39.44943433266719
100116,test,new,1,0,44.96622766775411
100117,test,new,1,1,38.42454349035145
100118,control,loyal,1,0,51.42124253021542
100119,test,loyal,1,0,53.80593294134812
